experiment,filename,id_code,plate,sirna,well
U2OS-01,U2OS-01_1_B03_s1.jpeg,U2OS-01_1_B03,1,267.0,B03
U2OS-01,U2OS-01_1_B04_s1.jpeg,U2OS-01_1_B04,1,768.0,B04
U2OS-01,U2OS-01_1_B05_s1.jpeg,U2OS-01_1_B05,1,632.0,B05
U2OS-01,U2OS-01_1_B06_s1.jpeg,U2OS-01_1_B06,1,86.0,B06
U2OS-01,U2OS-01_1_B07_s1.jpeg,U2OS-01_1_B07,1,1051.0,B07
U2OS-01,U2OS-01_1_B08_s1.jpeg,U2OS-01_1_B08,1,29.0,B08
U2OS-01,U2OS-01_1_B09_s1.jpeg,U2OS-01_1_B09,1,933.0,B09
U2OS-01,U2OS-01_1_B10_s1.jpeg,U2OS-01_1_B10,1,570.0,B10
U2OS-01,U2OS-01_1_B11_s1.jpeg,U2OS-01_1_B11,1,1079.0,B11
U2OS-01,U2OS-01_1_B12_s1.jpeg,U2OS-01_1_B12,1,1057.0,B12
U2OS-01,U2OS-01_1_B13_s1.jpeg,U2OS-01_1_B13,1,1053.0,B13
U2OS-01,U2OS-01_1_B14_s1.jpeg,U2OS-01_1_B14,1,1034.0,B14
U2OS-01,U2OS-01_1_B15_s1.jpeg,U2OS-01_1_B15,1,926.0,B15
U2OS-01,U2OS-01_1_B16_s1.jpeg,U2OS-01_1_B16,1,895.0,B16
U2OS-01,U2OS-01_1_B17_s1.jpeg,U2OS-01_1_B17,1,38.0,B17
U2OS-01,U2OS-01_1_B18_s1.jpeg,U2OS-01_1_B18,1,490.0,B18
U2OS-01,U2OS-01_1_B19_s1.jpeg,U2OS-01_1_B19,1,90.0,B19
U2OS-01,U2OS-01_1_B20_s1.jpeg,U2OS-01_1_B20,1,291.0,B20
U2OS-01,U2OS-01_1_B21_s1.jpeg,U2OS-01_1_B21,1,314.0,B21
U2OS-01,U2OS-01_1_B22_s1.jpeg,U2OS-01_1_B22,1,248.0,B22
U2OS-01,U2OS-01_1_B23_s1.jpeg,U2OS-01_1_B23,1,802.0,B23
U2OS-01,U2OS-01_1_C02_s1.jpeg,U2OS-01_1_C02,1,901.0,C02
U2OS-01,U2OS-01_1_C04_s1.jpeg,U2OS-01_1_C04,1,578.0,C04
U2OS-01,U2OS-01_1_C05_s1.jpeg,U2OS-01_1_C05,1,999.0,C05
U2OS-01,U2OS-01_1_C06_s1.jpeg,U2OS-01_1_C06,1,464.0,C06
U2OS-01,U2OS-01_1_C08_s1.jpeg,U2OS-01_1_C08,1,1018.0,C08
U2OS-01,U2OS-01_1_C09_s1.jpeg,U2OS-01_1_C09,1,937.0,C09
U2OS-01,U2OS-01_1_C10_s1.jpeg,U2OS-01_1_C10,1,449.0,C10
U2OS-01,U2OS-01_1_C12_s1.jpeg,U2OS-01_1_C12,1,170.0,C12
U2OS-01,U2OS-01_1_C13_s1.jpeg,U2OS-01_1_C13,1,382.0,C13
U2OS-01,U2OS-01_1_C14_s1.jpeg,U2OS-01_1_C14,1,477.0,C14
U2OS-01,U2OS-01_1_C16_s1.jpeg,U2OS-01_1_C16,1,501.0,C16
U2OS-01,U2OS-01_1_C17_s1.jpeg,U2OS-01_1_C17,1,1029.0,C17
U2OS-01,U2OS-01_1_C18_s1.jpeg,U2OS-01_1_C18,1,816.0,C18
U2OS-01,U2OS-01_1_C20_s1.jpeg,U2OS-01_1_C20,1,629.0,C20
U2OS-01,U2OS-01_1_C21_s1.jpeg,U2OS-01_1_C21,1,410.0,C21
U2OS-01,U2OS-01_1_C23_s1.jpeg,U2OS-01_1_C23,1,24.0,C23
U2OS-01,U2OS-01_1_D02_s1.jpeg,U2OS-01_1_D02,1,644.0,D02
U2OS-01,U2OS-01_1_D03_s1.jpeg,U2OS-01_1_D03,1,861.0,D03
U2OS-01,U2OS-01_1_D04_s1.jpeg,U2OS-01_1_D04,1,362.0,D04
U2OS-01,U2OS-01_1_D05_s1.jpeg,U2OS-01_1_D05,1,148.0,D05
U2OS-01,U2OS-01_1_D06_s1.jpeg,U2OS-01_1_D06,1,307.0,D06
U2OS-01,U2OS-01_1_D07_s1.jpeg,U2OS-01_1_D07,1,34.0,D07
U2OS-01,U2OS-01_1_D08_s1.jpeg,U2OS-01_1_D08,1,453.0,D08
U2OS-01,U2OS-01_1_D09_s1.jpeg,U2OS-01_1_D09,1,719.0,D09
U2OS-01,U2OS-01_1_D10_s1.jpeg,U2OS-01_1_D10,1,4.0,D10
U2OS-01,U2OS-01_1_D11_s1.jpeg,U2OS-01_1_D11,1,444.0,D11
U2OS-01,U2OS-01_1_D12_s1.jpeg,U2OS-01_1_D12,1,171.0,D12
U2OS-01,U2OS-01_1_D13_s1.jpeg,U2OS-01_1_D13,1,674.0,D13
U2OS-01,U2OS-01_1_D14_s1.jpeg,U2OS-01_1_D14,1,627.0,D14
U2OS-01,U2OS-01_1_D15_s1.jpeg,U2OS-01_1_D15,1,180.0,D15
U2OS-01,U2OS-01_1_D16_s1.jpeg,U2OS-01_1_D16,1,401.0,D16
U2OS-01,U2OS-01_1_D17_s1.jpeg,U2OS-01_1_D17,1,665.0,D17
U2OS-01,U2OS-01_1_D18_s1.jpeg,U2OS-01_1_D18,1,718.0,D18
U2OS-01,U2OS-01_1_D19_s1.jpeg,U2OS-01_1_D19,1,229.0,D19
U2OS-01,U2OS-01_1_D20_s1.jpeg,U2OS-01_1_D20,1,405.0,D20
U2OS-01,U2OS-01_1_D21_s1.jpeg,U2OS-01_1_D21,1,121.0,D21
U2OS-01,U2OS-01_1_D22_s1.jpeg,U2OS-01_1_D22,1,244.0,D22
U2OS-01,U2OS-01_1_D23_s1.jpeg,U2OS-01_1_D23,1,796.0,D23
U2OS-01,U2OS-01_1_E02_s1.jpeg,U2OS-01_1_E02,1,51.0,E02
U2OS-01,U2OS-01_1_E03_s1.jpeg,U2OS-01_1_E03,1,546.0,E03
U2OS-01,U2OS-01_1_E04_s1.jpeg,U2OS-01_1_E04,1,335.0,E04
U2OS-01,U2OS-01_1_E05_s1.jpeg,U2OS-01_1_E05,1,432.0,E05
U2OS-01,U2OS-01_1_E06_s1.jpeg,U2OS-01_1_E06,1,666.0,E06
U2OS-01,U2OS-01_1_E07_s1.jpeg,U2OS-01_1_E07,1,319.0,E07
U2OS-01,U2OS-01_1_E08_s1.jpeg,U2OS-01_1_E08,1,142.0,E08
U2OS-01,U2OS-01_1_E09_s1.jpeg,U2OS-01_1_E09,1,955.0,E09
U2OS-01,U2OS-01_1_E10_s1.jpeg,U2OS-01_1_E10,1,686.0,E10
U2OS-01,U2OS-01_1_E11_s1.jpeg,U2OS-01_1_E11,1,484.0,E11
U2OS-01,U2OS-01_1_E12_s1.jpeg,U2OS-01_1_E12,1,337.0,E12
U2OS-01,U2OS-01_1_E13_s1.jpeg,U2OS-01_1_E13,1,940.0,E13
U2OS-01,U2OS-01_1_E14_s1.jpeg,U2OS-01_1_E14,1,365.0,E14
U2OS-01,U2OS-01_1_E15_s1.jpeg,U2OS-01_1_E15,1,387.0,E15
U2OS-01,U2OS-01_1_E16_s1.jpeg,U2OS-01_1_E16,1,525.0,E16
U2OS-01,U2OS-01_1_E17_s1.jpeg,U2OS-01_1_E17,1,617.0,E17
U2OS-01,U2OS-01_1_E18_s1.jpeg,U2OS-01_1_E18,1,32.0,E18
U2OS-01,U2OS-01_1_E19_s1.jpeg,U2OS-01_1_E19,1,1007.0,E19
U2OS-01,U2OS-01_1_E20_s1.jpeg,U2OS-01_1_E20,1,777.0,E20
U2OS-01,U2OS-01_1_E21_s1.jpeg,U2OS-01_1_E21,1,119.0,E21
U2OS-01,U2OS-01_1_E22_s1.jpeg,U2OS-01_1_E22,1,173.0,E22
U2OS-01,U2OS-01_1_E23_s1.jpeg,U2OS-01_1_E23,1,807.0,E23
U2OS-01,U2OS-01_1_F02_s1.jpeg,U2OS-01_1_F02,1,759.0,F02
U2OS-01,U2OS-01_1_F04_s1.jpeg,U2OS-01_1_F04,1,886.0,F04
U2OS-01,U2OS-01_1_F05_s1.jpeg,U2OS-01_1_F05,1,39.0,F05
U2OS-01,U2OS-01_1_F06_s1.jpeg,U2OS-01_1_F06,1,198.0,F06
U2OS-01,U2OS-01_1_F08_s1.jpeg,U2OS-01_1_F08,1,916.0,F08
U2OS-01,U2OS-01_1_F09_s1.jpeg,U2OS-01_1_F09,1,168.0,F09
U2OS-01,U2OS-01_1_F10_s1.jpeg,U2OS-01_1_F10,1,98.0,F10
U2OS-01,U2OS-01_1_F12_s1.jpeg,U2OS-01_1_F12,1,1000.0,F12
U2OS-01,U2OS-01_1_F13_s1.jpeg,U2OS-01_1_F13,1,191.0,F13
U2OS-01,U2OS-01_1_F14_s1.jpeg,U2OS-01_1_F14,1,487.0,F14
U2OS-01,U2OS-01_1_F16_s1.jpeg,U2OS-01_1_F16,1,214.0,F16
U2OS-01,U2OS-01_1_F17_s1.jpeg,U2OS-01_1_F17,1,943.0,F17
U2OS-01,U2OS-01_1_F18_s1.jpeg,U2OS-01_1_F18,1,863.0,F18
U2OS-01,U2OS-01_1_F20_s1.jpeg,U2OS-01_1_F20,1,271.0,F20
U2OS-01,U2OS-01_1_F21_s1.jpeg,U2OS-01_1_F21,1,437.0,F21
U2OS-01,U2OS-01_1_F23_s1.jpeg,U2OS-01_1_F23,1,691.0,F23
U2OS-01,U2OS-01_1_G02_s1.jpeg,U2OS-01_1_G02,1,99.0,G02
U2OS-01,U2OS-01_1_G03_s1.jpeg,U2OS-01_1_G03,1,633.0,G03
U2OS-01,U2OS-01_1_G04_s1.jpeg,U2OS-01_1_G04,1,21.0,G04
U2OS-01,U2OS-01_1_G05_s1.jpeg,U2OS-01_1_G05,1,62.0,G05
U2OS-01,U2OS-01_1_G06_s1.jpeg,U2OS-01_1_G06,1,818.0,G06
U2OS-01,U2OS-01_1_G07_s1.jpeg,U2OS-01_1_G07,1,819.0,G07
U2OS-01,U2OS-01_1_G08_s1.jpeg,U2OS-01_1_G08,1,583.0,G08
U2OS-01,U2OS-01_1_G09_s1.jpeg,U2OS-01_1_G09,1,755.0,G09
U2OS-01,U2OS-01_1_G10_s1.jpeg,U2OS-01_1_G10,1,237.0,G10
U2OS-01,U2OS-01_1_G11_s1.jpeg,U2OS-01_1_G11,1,599.0,G11
U2OS-01,U2OS-01_1_G12_s1.jpeg,U2OS-01_1_G12,1,289.0,G12
U2OS-01,U2OS-01_1_G13_s1.jpeg,U2OS-01_1_G13,1,625.0,G13
U2OS-01,U2OS-01_1_G14_s1.jpeg,U2OS-01_1_G14,1,869.0,G14
U2OS-01,U2OS-01_1_G15_s1.jpeg,U2OS-01_1_G15,1,446.0,G15
U2OS-01,U2OS-01_1_G16_s1.jpeg,U2OS-01_1_G16,1,866.0,G16
U2OS-01,U2OS-01_1_G17_s1.jpeg,U2OS-01_1_G17,1,564.0,G17
U2OS-01,U2OS-01_1_G18_s1.jpeg,U2OS-01_1_G18,1,246.0,G18
U2OS-01,U2OS-01_1_G19_s1.jpeg,U2OS-01_1_G19,1,820.0,G19
U2OS-01,U2OS-01_1_G20_s1.jpeg,U2OS-01_1_G20,1,127.0,G20
U2OS-01,U2OS-01_1_G21_s1.jpeg,U2OS-01_1_G21,1,283.0,G21
U2OS-01,U2OS-01_1_G22_s1.jpeg,U2OS-01_1_G22,1,769.0,G22
U2OS-01,U2OS-01_1_G23_s1.jpeg,U2OS-01_1_G23,1,402.0,G23
U2OS-01,U2OS-01_1_H02_s1.jpeg,U2OS-01_1_H02,1,749.0,H02
U2OS-01,U2OS-01_1_H04_s1.jpeg,U2OS-01_1_H04,1,252.0,H04
U2OS-01,U2OS-01_1_H05_s1.jpeg,U2OS-01_1_H05,1,197.0,H05
U2OS-01,U2OS-01_1_H06_s1.jpeg,U2OS-01_1_H06,1,338.0,H06
U2OS-01,U2OS-01_1_H08_s1.jpeg,U2OS-01_1_H08,1,527.0,H08
U2OS-01,U2OS-01_1_H09_s1.jpeg,U2OS-01_1_H09,1,554.0,H09
U2OS-01,U2OS-01_1_H10_s1.jpeg,U2OS-01_1_H10,1,145.0,H10
U2OS-01,U2OS-01_1_H12_s1.jpeg,U2OS-01_1_H12,1,848.0,H12
U2OS-01,U2OS-01_1_H13_s1.jpeg,U2OS-01_1_H13,1,961.0,H13
U2OS-01,U2OS-01_1_H14_s1.jpeg,U2OS-01_1_H14,1,1074.0,H14
U2OS-01,U2OS-01_1_H16_s1.jpeg,U2OS-01_1_H16,1,748.0,H16
U2OS-01,U2OS-01_1_H17_s1.jpeg,U2OS-01_1_H17,1,595.0,H17
U2OS-01,U2OS-01_1_H18_s1.jpeg,U2OS-01_1_H18,1,1091.0,H18
U2OS-01,U2OS-01_1_H20_s1.jpeg,U2OS-01_1_H20,1,1012.0,H20
U2OS-01,U2OS-01_1_H21_s1.jpeg,U2OS-01_1_H21,1,265.0,H21
U2OS-01,U2OS-01_1_H23_s1.jpeg,U2OS-01_1_H23,1,643.0,H23
U2OS-01,U2OS-01_1_I02_s1.jpeg,U2OS-01_1_I02,1,369.0,I02
U2OS-01,U2OS-01_1_I03_s1.jpeg,U2OS-01_1_I03,1,530.0,I03
U2OS-01,U2OS-01_1_I04_s1.jpeg,U2OS-01_1_I04,1,96.0,I04
U2OS-01,U2OS-01_1_I05_s1.jpeg,U2OS-01_1_I05,1,593.0,I05
U2OS-01,U2OS-01_1_I06_s1.jpeg,U2OS-01_1_I06,1,740.0,I06
U2OS-01,U2OS-01_1_I07_s1.jpeg,U2OS-01_1_I07,1,677.0,I07
